question,option1,option2,option3,option4,correctAnswerIndex,explanation
"Which one of the following Constitutional Amendments states that the total number of Ministers including the Prime Minister in the Council of Ministers shall not exceed fifteen percent of the total number of members of the House of the People?","90th","91st","92nd","93rd",1,"This provision was added by the 91st Constitutional Amendment Act, 2003."
"With reference to the Constitution of India, which of the following provisions is/are fulfilled by the National Social Assistance Programme? 1. Fundamental Rights 2. Fundamental Duties 3. Directive Principles of the State Policy","1 only","3 only","1 & 3 only","1, 2 & 3",1,"The NSAP (1995) is a significant step towards the fulfillment of Directive Principles in Article 41 (Right to Work, to Education and to Public Assistance in certain cases) of the Constitution."
"Under the Constitution of India, which one of the following is not a fundamental duty?","To vote in public elections","To develop the scientific temper","To safeguard public property","To abide by the Constitution and respect its ideals",0,"To vote in public elections is not a fundamental duty."
"Consider the following provisions under the Directive Principles of State Policy: 1. Securing for citizens of India a uniform civil code 2. Organizing village Panchayats 3. Promoting cottage industries in rural areas 4. Securing for all the workers reasonable leisure and cultural opportunities. Which of the above are the Gandhian Principles reflected in the Directive Principles of State Policy?","1, 2 and 4 only","2 and 3 only","1, 2, 3 and 4","1, 3 and 4 only",1,"Organizing village Panchayats and promoting cottage industries in rural areas are the Gandhian principles reflected in the Directive Principles of State Policy."
"Which of the following special powers have been conferred on the Rajya Sabha by the Constitution of India?","To change the existing territory of a State and to change the name of a State","To pass a resolution empowering the Parliament to make laws in the State List and to create one or more All India Services","To amend the election procedure of the President and to determine the pension of the President after his/her retirement","To determine the functions of the Election Commission and to determine the number of Election Commissioners",1,"Rajya Sabha can pass a resolution empowering the Parliament to make laws in the State List and to create one or more All India Services under the Constitution."
"Which of the following provisions of the Constitution of India have a bearing on Education? 1. Directive Principles of State Policy 2. Rural and Urban Local Bodies 3. Fifth Schedule 4. Sixth Schedule 5. Seventh Schedule","1 & 2 only","3, 4 & 5 only","1, 2 & 5 only","1, 2, 3, 4 & 5",3,"The items DPSP, Rural and Urban Local Bodies, 6th Schedule, 7th Schedule all provide provisions for education."
"According to the Constitution of India, it is the duty of the President of India to cause to be laid before the Parliament which of the following? 1. The Recommendations of the Union Finance Commission 2. The Report of the Public Accounts Committee 3. The Report of the Comptroller and Auditor General 4. The Report of the National Commission for Scheduled Castes","1 only","2 & 4 only","1, 3 & 4 only","1, 2, 3 & 4",2,"CAG gives three audit reports to President which are laid before both houses of Parliament. Statements 1, 3 and 4 are correct. Public Accounts Committee examines CAG reports but is not laid before Parliament by the President."
"Which of the following is/are among the Fundamental Duties of citizens laid down in the Indian Constitution? 1. To preserve the rich heritage of our composite culture 2. To protect the weaker sections from social injustice 3. To develop the scientific temper and spirit of inquiry 4. To strive towards excellence in all spheres of individual and collective activity","1 & 2 only","2 only","1, 3 & 4 only","1, 2, 3 & 4",2,"All the statements except 2 are among the Fundamental Duties of citizens. Statement 2 (protecting weaker sections) is a DPSP, not a Fundamental Duty."
"The distribution of powers between the Centre and the States in the Indian Constitution is based on the Act provided in the:","Morley-Minto Reforms, 1909","Montagu-Chelmsford Act, 1919","Government of India Act, 1935","Indian Independence Act, 1947",2,"Distribution of power between the Centre and the States in the Indian Constitution is based on the Government of India Act, 1935."
"With reference to Indian History, the Members of the Constituent Assembly from the Provinces were:","Directly elected by the people of those Provinces","Nominated by the Indian National Congress and the Muslim League","Elected by the Provincial Legislative Assemblies","Selected by the Government for their expertise in constitutional matters",2,"The members of the Constituent Assembly from the provinces were indirectly elected by the members of the provincial assemblies, who themselves were elected on a limited franchise."
"According to the Constitution of India, which of the following are fundamental for the governance of the country?","Fundamental Rights","Fundamental Duties","Directive Principles of State Policy","Fundamental Rights and Fundamental Duties",2,"Directive Principles of State Policy are guidelines to the central and State government of India to be kept in mind while framing laws and policies."
"Consider the following statements: 1. An amendment to the Constitution of India can be initiated by an introduction of a bill in the Lok Sabha only. 2. If such an amendment seeks to make changes in the federal character of the Constitution, the amendment also requires to be ratified by the legislature of all the States of India. Which of the statements given above is/are correct?","1 only","2 only","Both 1 & 2","Neither 1 nor 2",1,"An amendment can be initiated by either House of Parliament (not Lok Sabha only), so Statement 1 is wrong. Statement 2 is partially correct — it requires ratification by at least half the states, not all states. Only Statement 2 is correct."
"Which of the following bodies does not/do not find mention in the Constitution? 1. National Development Council 2. Planning Commission 3. Zonal Councils","1 & 2 only","2 only","1 & 3 only","1, 2 & 3",0,"National Development Council and Planning Commission are non-constitutional bodies created by government resolution. Zonal Councils were set up under the States Re-Organization Act, 1956, not the Constitution."
"Consider the following statements: 1. National Development Council is an organ of the Planning Commission. 2. The Economic and Social Planning is kept in the Concurrent List in the Constitution of India. 3. The Constitution of India prescribes that Panchayats should be assigned the task of preparation of plans for economic development and social justice. Which of the statements given above is/are correct?","1 only","2 & 3 only","1 & 3 only","1, 2 & 3",1,"Economic and Social Planning is placed in the Concurrent List. Article 40 mentions organizing village panchayats. NDC includes members of Planning Commission but is a separate body. Statements 2 and 3 are correct."
"'Economic Justice' as one of the objectives of the Indian Constitution has been provided in:","The Preamble and the Fundamental Rights","The Preamble and the Directive Principles of State Policy","The Fundamental Rights and the Directive Principles of State Policy","None of the above",1,"The Preamble to the Constitution says 'Justice-Social, Economic and Political' and the Directive Principles of state policies aim to create social and economic conditions for citizens."
"Which one of the following Schedules of the Constitution of India contains provisions regarding anti-defection?","Second Schedule","Fifth Schedule","Eighth Schedule","Tenth Schedule",3,"The 52nd Amendment Act of 1985 added the 10th schedule to the Constitution. This is often referred to as the anti-defection law."
"In the Constitution of India, promotion of international peace and security is included in the:","Preamble to the Constitution","Directive Principles of State Policy","Fundamental Duties","Ninth Schedule",1,"Promotion of international peace and security is included in the Directive Principles of State Policy under Article 51 of the Constitution."
"The provisions in Fifth Schedule and Sixth Schedule in the Constitution of India are made in order to:","Protect the interests of Scheduled Tribes","Determine the boundaries between States","Determine the powers, authority and responsibilities of Panchayats","Protect the interests of all the border States",0,"The Fifth Schedule deals with administration and control of scheduled areas and scheduled tribes. The Sixth Schedule contains provisions concerning the administration of tribal areas in Assam, Meghalaya, Tripura and Mizoram."
"Who/Which of the following is the custodian of the Constitution of India?","The President of India","The Prime Minister of India","The Lok Sabha Secretariat","The Supreme Court of India",3,"The Supreme Court of India is the apex court. As stated by the Indian Constitution, the function of the Supreme Court of India is that of the custodian of the Constitution."
"'To uphold and protect the Sovereignty, Unity and Integrity of India' is a provision made in the:","Preamble of the Constitution","Directive Principles of State Policy","Fundamental Rights","Fundamental Duties",3,"To uphold and protect the sovereignty, unity and integrity of India is one of the fundamental duties mentioned in the constitution."
"'The idea of Welfare State' in the Indian Constitution is enshrined in its:","Preamble","Directive Principles of State Policy","Fundamental Rights","Seventh Schedule",1,"A welfare state concept is enshrined in the Directive Principles of State Policy (DPSP) which provides guidelines to central and state governments to protect the economic and social well-being of citizens."
"Consider the following statements regarding the Directive Principles of State Policy: 1. The Principles spell out the socio-economic democracy in the country. 2. The provisions contained in these Principles are not enforceable by any court. Which of the statements given above is / are correct?","1 only","2 only","Both 1 & 2","Neither 1 nor 2",2,"Both statements are correct. DPSP spells out socio-economic democracy and their provisions are not enforceable by any court. Only Fundamental Rights can be enforced by the courts."
"Consider the following statements: 1. A bill pending in the Lok Sabha lapses on its prorogation. 2. A bill pending in the Rajya Sabha, which has not been passed by the Lok Sabha, shall not lapse on dissolution of the Lok Sabha. Which of the statements given above is/are correct?","1 only","2 only","Both 1 & 2","Neither 1 nor 2",1,"Prorogation doesn't affect bills pending before the house so Statement 1 is wrong. A bill pending in the Rajya Sabha does not lapse if the president has notified the holding of a joint sitting before the dissolution of Lok Sabha. So Statement 2 is right."
"The Parliament of India acquires the power to legislate on any item in the State List in the national interest if a resolution to that effect is passed by the:","Lok Sabha by a simple majority of its total membership","Lok Sabha by a majority of not less than two-thirds of its total membership","Rajya Sabha by a simple majority of its total membership","Rajya Sabha by a majority of not less than two-thirds of its members present and voting",3,"If the Rajya Sabha declares by a majority of not less than two-thirds of its members present and voting that it is necessary in the national interest, Parliament becomes competent to make laws on a State List matter."
"Which one of the following objectives is not embodied in the Preamble to the Constitution of India?","Liberty of thought","Economic liberty","Liberty of expression","Liberty of belief",1,"The Preamble mentions LIBERTY of thought, expression, belief, faith and worship. 'Economic liberty' is not mentioned in the Preamble."
"The mind of the makers of the Constitution of India is reflected in which of the following?","The Preamble","The Fundamental Rights","The Directive Principles of State Policy","The Fundamental Duties",0,"Sir Alladi Krishnaswami Iyer, a member of the Constituent Assembly, had said 'The Preamble to our Constitution expresses what we had thought or dreamt so long.'"
"Which of the following are envisaged by the Right against Exploitation in the Constitution of India? 1. Prohibition of traffic in human beings and forced labour. 2. Abolition of untouchability. 3. Protection of the interests of minorities. 4. Prohibition of employment of children in factories and mines.","1, 2 & 4 only","2, 3 & 4 only","1 & 4 only","1, 2, 3 & 4",2,"The Right against Exploitation includes Prohibition of human trafficking and forced labour, and Prohibition of employment of children in factories and mines. Abolition of untouchability falls under Right to Equality. So 1 and 4 are correct."
"Which one of the following statements is correct?","Rights are claims of the State against the citizens","Rights are privileges which are incorporated in the Constitution of a State","Rights are claims of the citizens against the State","Rights are privileges of a few citizens against the many",2,"Rights are claims of the citizens against the State."
